relation;10;27;14;8;11;4
officiel;27;38;0;3;6;4
meilleur;4;12;29;8;11;12
diviser;5;9;5;3;40;13
destiner;7;21;11;5;13;22
collectif;4;28;15;4;19;2
chapitre;1;0;7;4;58;3
cause;7;5;25;22;4;8
montrer;2;8;20;10;8;20
lumière;0;2;9;2;2;53
apporter;11;8;28;9;14;12
activité;5;30;18;5;11;5
projection;2;5;3;0;2;59
opinion;11;13;11;29;6;1
direction;4;24;21;3;14;9
étranger;37;16;2;6;8;4
relier;8;22;5;2;30;10
immense;6;6;15;12;13;21
gravure;2;2;1;1;18;45
figure;2;1;7;8;15;36
chercher;5;1;25;8;15;25
bureau;28;42;0;2;4;4
traduire;2;4;4;36;8;14
roman;14;4;8;31;2;10
manuel;10;15;2;6;34;1
formule;4;4;18;5;8;10
essentiel;6;6;10;7;28;11
seconde;2;1;7;6;8;45
rôle;7;5;9;27;8;18
représentation;1;2;13;8;2;40
reliure;6;1;3;0;46;9
maison;50;10;1;5;3;4
dimension;1;4;6;1;15;45
annuaire;20;24;1;0;20;0
économique;11;31;14;7;5;6
espace;2;7;23;3;12;25
côté;10;7;17;3;24;16
classer;2;2;12;6;42;3
acquérir;15;8;31;3;6;8
poursuivre;3;19;17;22;13;3
poser;2;7;29;4;11;16
indice;0;0;2;0;65;2
décrire;0;2;14;6;33;13
catégorie;4;10;9;4;25;11
aide;6;5;9;6;14;27
privé;15;49;1;3;6;3
local;5;48;2;6;8;5
existant;7;17;14;2;27;5
aspect;4;10;18;5;16;16
référence;0;3;0;3;62;2
prêt;17;22;4;3;14;9
exposition;7;17;5;8;11;6
conception;2;13;21;10;6;7
vérité;4;2;26;16;4;1
library;8;5;0;0;6;1
intelligence;5;7;36;8;6;2
influence;5;4;25;24;6;6
employé;14;9;3;6;6;31
détail;6;0;13;7;27;14
classe;4;2;6;12;28;5
beau;5;3;12;26;11;9
tour;7;4;14;10;3;14
qualité;3;6;21;6;7;17
importer;6;6;15;2;23;19
gouvernement;28;27;2;7;2;5
existence;3;8;25;11;20;4
disque;5;7;0;0;16;25
consacrer;6;14;7;7;31;4
