"";"x"
"1052";5
"1053";5
"1054";5
"1055";5
"1056";5
"1057";5
"1058";5
"1059";5
"1060";1
"1061";5
"1062";6
"1063";6
"1064";0
"1065";3
"1066";0
"1067";6
"1068";0
"1069";6
"1070";4
"1071";6
"1072";6
"1073";6
"1074";6
"1075";3
"1076";6
"1077";6
"1078";4
"1079";6
"1080";0
"1081";6
"1082";6
"1083";3
"1084";3
"1085";0
"1086";0
"1087";4
"1088";0
"1089";4
"1090";0
"1091";0
"1092";4
"1093";4
"1094";0
"1095";6
"1096";6
"1097";6
"1098";6
"1099";0
"1100";6
"1101";6
"1102";6
"1103";6
"1104";6
"1105";6
"1106";6
"1107";6
"1108";4
"1109";6
"1110";6
"1111";6
"1112";6
"1113";6
"1114";4
"1115";6
"1116";4
"1117";6
"1118";6
"1119";6
"1120";6
"1121";0
"1122";0
"1123";6
"1124";6
"1125";6
"1126";0
"1127";4
"1128";6
"1129";6
"1130";6
"1131";6
"1132";6
"1133";0
"1134";6
"1135";4
"1136";6
"1137";6
"1138";6
"1139";6
"1140";0
"1141";0
"1142";0
"1143";0
"1144";3
"1145";0
"1146";6
"1147";6
"1148";6
"1149";6
"1150";1
"1151";6
"1152";0
"1153";0
"1154";3
"1155";6
"1156";6
"1157";6
"1158";6
"1159";6
"1160";6
"1161";6
"1162";6
"1163";6
"1164";6
"1165";6
"1166";6
"1167";6
"1168";6
"1169";6
"1170";6
"1171";6
"1172";6
"1173";4
"1174";5
"1175";4
"1176";6
"1177";6
"1178";6
"1179";4
"1180";4
"1181";0
"1182";4
"1183";0
"1184";6
"1185";6
"1186";6
"1187";4
"1188";6
"1189";4
"1190";6
"1191";6
"1192";6
"1193";6
"1194";6
"1195";6
"1196";4
"1197";6
"1198";6
"1199";6
"1200";6
"1201";6
"1202";0
"1203";0
"1204";6
"1205";6
"1206";3
"1207";6
"1208";4
"1209";0
"1210";3
"1211";4
"1212";3
"1213";6
"1214";3
"1215";6
"1216";6
"1217";6
"1218";3
"1219";6
"1220";5
"1221";4
"1222";4
"1223";1
"1224";6
"1225";6
"1226";6
"1227";6
"1228";6
"1229";6
"1230";3
"1231";3
"1232";3
"1233";2
"1234";2
"1235";3
"1236";6
"1237";3
"1238";6
"1239";4
"1240";3
"1241";3
"1242";4
"1243";4
"1244";3
"1245";6
"1246";3
"1247";3
"1248";3
"1249";0
"1250";4
"1251";4
"1252";6
"1253";6
"1254";6
"1255";6
"1256";6
"1257";6
"1258";1
"1259";6
"1260";4
"1261";0
"1262";0
"1263";3
"1264";3
"1265";6
"1266";6
"1267";6
"1268";3
"1269";6
"1270";1
"1271";6
"1272";6
"1273";6
"1274";6
"1275";6
"1276";6
"1277";6
"1278";6
"1279";6
"1280";6
"1281";6
"1282";4
"1283";6
"1284";6
"1285";6
"1286";6
"1287";6
"1288";6
"1289";6
"1290";6
"1291";6
"1292";1
"1293";1
"1294";4
"1295";6
"1296";6
"1297";4
"1298";4
"1299";2
"1300";4
"1301";6
"1302";6
"1303";6
"1304";6
"1305";4
"1306";6
"1307";4
"1308";6
"1309";6
"1310";4
"1311";4
"1312";4
"1313";6
"1314";6
"1315";6
"1316";6
"1317";6
"1318";6
"1319";6
"1320";6
"1321";6
"1322";4
"1323";4
"1324";6
"1325";6
"1326";6
"1327";4
"1328";6
"1329";6
"1330";6
"1331";4
"1332";6
"1333";6
"1334";5
"1335";6
"1336";6
"1337";6
"1338";6
"1339";6
"1340";3
"1341";3
"1342";6
"1343";3
"1344";3
"1345";6
"1346";6
"1347";5
"1348";6
"1349";4
"1350";6
"1351";6
"1352";6
"1353";6
"1354";6
"1355";5
"1356";6
"1357";6
"1358";4
"1359";6
"1360";6
"1361";6
"1362";6
"1363";4
"1364";6
"1365";6
"1366";6
"1367";4
"1368";2
"1369";2
"1370";6
"1371";4
"1372";6
"1373";6
"1374";6
"1375";6
"1376";2
"1377";6
"1378";6
"1379";3
"1380";0
"1381";4
"1382";4
"1383";6
"1384";1
"1385";4
"1386";4
"1387";4
"1388";6
"1389";6
"1390";6
"1391";6
"1392";6
"1393";6
"1394";5
"1395";6
"1396";6
"1397";3
"1398";6
"1399";6
"1400";6
"1401";6
"1402";6
"1403";6
"1404";3
"1405";6
"1406";6
"1407";6
"1408";6
"1409";6
"1410";6
"1411";6
"1412";6
"1413";6
"1414";4
"1415";5
"1416";6
"1417";6
"1418";6
"1419";4
"1420";4
"1421";0
"1422";3
"1423";3
"1424";6
"1425";6
"1426";3
"1427";3
"1428";6
"1429";6
"1430";6
"1431";4
"1432";4
"1433";0
"1434";6
"1435";6
"1436";6
"1437";6
"1438";6
"1439";6
"1440";5
"1441";0
"1442";3
"1443";6
"1444";6
"1445";4
"1446";4
"1447";3
"1448";4
"1449";0
"1450";6
"1451";6
"1452";6
"1453";4
"1454";4
"1455";6
"1456";6
"1457";4
"1458";0
"1459";2
"1460";4
"1461";2
"1462";4
"1463";6
"1464";4
"1465";4
"1466";6
"1467";4
"1468";3
"1469";6
"1470";6
"1471";1
"1472";6
"1473";3
"1474";4
"1475";4
"1476";6
"1477";4
"1478";4
"1479";4
"1480";6
"1481";1
"1482";1
"1483";4
"1484";1
"1485";2
"1486";4
"1487";6
"1488";6
"1489";6
"1490";3
"1491";6
"1492";6
"1493";0
"1494";0
"1495";3
"1496";0
"1497";3
"1498";3
"1499";3
"1500";3
"1501";3
"1502";6
"1503";0
"1504";3
"1505";0
"1506";5
"1507";6
"1508";0
"1509";0
"1510";1
"1511";6
"1512";6
"1513";6
"1514";4
"1515";0
"1516";6
"1517";0
"1518";6
"1519";6
"1520";4
"1521";0
"1522";4
"1523";6
"1524";2
"1525";6
"1526";6
"1527";6
"1528";6
"1529";6
"1530";6
"1531";6
"1532";5
"1533";4
"1534";4
"1535";4
"1536";4
"1537";5
"1538";6
"1539";1
"1540";5
"1541";5
"1542";5
"1543";6
"1544";5
"1545";5
"1546";2
"1547";1
"1548";4
"1549";6
"1550";5
"1551";5
"1552";4
"1553";6
"1554";3
"1555";6
"1556";6
"1557";0
"1558";0
"1559";0
"1560";0
"1561";0
"1562";0
"1563";3
"1564";6
"1565";6
"1566";0
"1567";4
"1568";6
"1569";6
"1570";6
"1571";6
"1572";6
"1573";1
"1574";6
"1575";4
"1576";6
"1577";6
"1578";6
"1579";5
"1580";6
"1581";6
"1582";6
"1583";6
"1584";6
"1585";6
"1586";6
"1587";6
"1588";6
"1589";6
"1590";3
"1591";3
"1592";0
"1593";4
"1594";6
