260;1;1;0;0;1;0
254;1;1;1;0;0;0
226;0;0;0;2;1;0
214;2;0;0;0;0;1
210;1;0;1;1;0;0
208;0;0;0;0;2;1
192;0;0;1;0;2;0
1888;2;0;0;0;1;0
188;0;1;0;0;1;1
1879;1;0;0;0;1;1
1862;1;0;0;1;0;1
1851;0;2;0;1;0;0
1846;1;0;0;0;1;1
1839;2;0;0;0;0;1
1832;0;0;0;0;2;1
1824;1;0;0;1;1;0
1818;2;0;0;0;0;1
1817;2;0;0;0;1;0
178;1;1;0;0;1;0
1778;1;0;0;1;1;0
172;1;0;0;0;0;2
1672;2;0;0;0;0;1
167;1;1;1;0;0;0
166;0;1;0;0;0;2
1653;1;0;0;0;1;1
165;1;0;0;0;1;1
163;0;1;0;1;0;1
1595;1;0;0;0;2;0
1546;1;0;0;0;1;1
1439;0;0;0;0;0;3
1436;0;0;0;0;0;3
137;0;2;0;1;0;0
127;1;0;0;2;0;0
1200;3;0;0;0;0;0
118;1;1;0;0;1;0
116;0;2;1;0;0;0
103;1;1;0;0;1;0
