"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"théâtre";-7,93;-3,95;-8,617;8,667;-20,942;83,476
"origine";-0,19;-2,476;-1,369;7,999;-0,503;1,1
"centre";4,24;166,167;-8,376;-13,786;-10,049;-10,266
"opérer";-9,902;0,072;-1,381;-5,252;13,825;2,138
"libraire";407,92;-0,243;-17,481;-12,93;-19,668;-19,169
"demander";3,307;7,559;-6,232;-0,009;-0,32;-0,663
"anglais";42,536;-8,582;-10,238;2,123;-9,143;4,307
"étendre";0,227;0,306;14,781;-1,837;-0,08;-8,654
"contenu";-8,888;-2,476;3,745;-4,877;52,854;-15,69
"illustration";-0,711;-7,414;-8,741;-0,137;0,285;30,51
"grec";-11,027;-14,17;-18,473;211,977;-25,95;6,585
"arriver";-0,29;-2,881;27,067;0,188;-4,463;-1,106
"naturel";-6,844;-5,814;47,157;-1,918;-0,728;-0,001
"invention";-0,374;-2,084;20,012;-2,179;-19,668;13,735
"force";-9,34;3,121;84,772;-0,074;-13,393;-11,135
"chiffre";0,042;-5,676;-5,46;-10,881;0,64;37,242
"heure";-0,095;-2,249;-2,461;2,808;-15,031;32,861
"nation";0,079;218,695;-6,331;-1,556;-27,459;-13,206
"distinct";-5,403;0,042;0;-3,165;22,661;-3,413
"consister";-5,148;-5,814;12,107;3,414;-0,728;-0,001
"écrivain";-0,017;-1,712;-0,703;122,324;-16,28;-11,822
"personnel";-3,657;18,149;1,024;-0,07;0,068;-9,186
"unir";203,304;-0,009;-7,153;-6,913;-14,915;-7,22
"phénomène";-6,691;-3,796;90,218;-3,378;-9,548;-0,004
"physique";-3,056;-1,246;6,045;0,184;-0,096;0,003
"utiliser";-0,331;-0,018;-0,457;-2,075;0,006;5,878
"synthèse";-10,391;-1,57;102,003;-0,32;-2,862;-11,213
"rayon";-6,979;-3,124;-9,114;-9,173;41,315;4,833
"fondamental";-10,25;-0,267;10,357;-12,445;24,077;-4,514
"effet";-2,042;0,127;9,388;0,332;-3,848;-0,126
"ajouter";-0,752;-10,888;-3,238;-0,236;0,786;21,82
"utile";-1,351;-1,803;0,773;-3,936;24,75;-5,642
"occuper";6,403;6,665;-0,703;0,047;-3,096;-3,183
"groupe";-0,285;-0,518;5,052;-4,126;5,348;-3,095
"entier";3,879;-2,455;-0,565;4,804;-0,787;-0,338
"salle";2,834;37,53;-11,223;-4,223;-11,346;4,106
"mode";0,36;-2,783;3,078;-5,246;0,758;0,137
"mathématique";-0,031;-0,745;8,555;-1,091;-0,55;-0,013
"liste";0,082;1,118;-13,97;-11,904;78,036;-17,706
"application";-5,148;1,716;3,762;-7,171;4,197;-0,803
"mémoire";-1,769;-2,249;10,675;3,972;1,087;-12,852
"résumé";-1,423;-2,895;-7,004;-5,394;86,413;-9,999
"proposer";-1,05;9,527;0,632;-3,418;0,21;-1,884
"poésie";-5,107;-9,768;-3,545;249,033;-18,835;-9,132
"envisager";-9,2;-0,029;43,457;-7,65;0,275;-2,587
"école";2,566;56,113;-8,741;4,982;-11,89;-9,999
"vente";201,996;0,014;-7,896;-13,993;-2,563;-17,463
"musical";-2,939;-0,476;0,612;11,776;-6,985;1,221
"création";-0,814;7,465;11,461;2,575;-19,347;-1,875
"savant";0,214;3,726;-0,326;35,587;-9,058;-12,382
"répondre";0,082;-0,065;6,419;0;-1,306;-1,298
"original";-4,282;0,005;-6,467;0;8,704;0,661
"congrès";-0,149;304,808;-16,291;-7,971;-17,745;-13,322
"véritable";-3,326;2,427;6,967;-0,018;-5,355;0,134
"laisser";-7,521;-2,455;-0,024;39,272;-7,169;1,193
"faciliter";-4,282;-0,065;-8,076;-6,299;69,259;-5,086
"université";19,905;123,586;-7,717;-7,65;-17,106;-12,852
"relation";0,115;36,47;0,38;-0,806;-3,852;-9,323
"officiel";36,741;88,904;-15,302;-7,171;-12,189;-10,225
"meilleur";-3,463;0,534;26,894;-0,961;-4,279;-0,632
"diviser";-2,178;-0,065;-5,131;-6,694;33,464;-0,203
"destiner";-0,841;13,041;-0,326;-4,264;-2,886;3,658
"collectif";-3,009;43,1;1,101;-4,657;0,117;-12,801
"chapitre";-8,082;-10,98;-2,42;-4,803;118,907;-10,981
"cause";-0,374;-2,236;18,801;15,779;-13,94;-3,013
"montrer";-5,504;-0,09;8,66;0,003;-6,131;4,414
"lumière";-9,543;-6,115;-0,467;-7,354;-17,392;150,374
"apporter";0,109;-0,763;19,363;-0,815;-2,563;-1,192
"activité";-2,08;50,136;3,537;-3,584;-3,852;-7,607
"projection";-5,903;-2,236;-7,632;-12,101;-18,374;185,942
"opinion";0,711;1,796;-0,033;40,235;-10,118;-14,789
"direction";-3,348;24,2;7,613;-6,694;-1,462;-2,635
"étranger";101,407;5,198;-9,902;-2,321;-7,434;-9,099
"relier";-0,244;16,697;-5,46;-8,84;8,549;-2,031
"immense";-1,101;-1,479;0,981;0,231;-1,859;4,151
"gravure";-5,637;-6,259;-11,223;-9,52;0,076;93,494
"figure";-5,637;-8,187;-1,922;-0,464;-0,319;47,856
"chercher";-2,583;-9,684;13,792;-1,213;-1,38;7,674
"bureau";38,998;111,531;-15,697;-9,339;-16,788;-10,679
"traduire";-5,504;-3,058;-5,437;81,953;-6,131;0,064
"roman";4,211;-3,178;-1,122;52,13;-17,719;-1,062
"manuel";0,392;4,993;-8,947;-1,763;23,678;-14,062
"formule";-0,758;-1,013;15,112;-0,723;-1,841;0,033
"essentiel";-0,739;-1,05;-0,125;-0,964;10,06;-0,45
"seconde";-5,637;-8,187;-1,922;-1,871;-6,387;93,494
"rôle";-0,532;-2,561;-0,93;29,232;-7,7;1,168
