"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"psychologique";-4,473;-4,792;119,462;-1,752;-10,51;-3,543
"précéder";-0,368;-3,046;-2,709;3,974;9,216;-2,434
"londres";27,137;11,031;-5,855;-5,091;-3,481;-0,704
"linguistique";-2,932;-3,141;55,408;-0,416;-2,595;-2,878
"limiter";-0,042;0,434;2,014;-2,319;1,464;-2,822
"impossible";-2,479;-0,007;7,709;-0,673;-0,134;-0,008
"graver";-4,894;-5,242;-6,834;-5,942;-4,894;116,735
"facilité";0,002;-0,37;-4,079;0,035;0,208;2,896
"examen";-1,173;-2,904;16,6;-1,891;1,341;-2,244
"empire";6,451;0,09;0,046;8,823;-11,169;-2,434
"distribuer";5,494;2,73;-1,676;-2,319;0,676;-2,822
"convenir";0,093;-1,765;-0,709;-0,01;0,676;0,731
"commencement";-1,28;-5,092;-4,457;3,974;2,078;2,199
"cerveau";-4,333;-2,622;60,415;-1,615;-5,55;-0,21
"automatique";-1,28;-5,092;-0,511;-5,772;-4,606;64,048
"attendre";1,094;0,138;4,774;-1,891;-0,748;-1,117
"argent";4,062;-0,523;-1,393;-0,201;-6,476;10,378
"appartenir";0,002;4,103;-0,337;0,035;0,208;-3,543
"académie";0;43,518;-4,268;0,013;-6,166;-1,117
"toucher";0,013;-1,175;-0,996;-0,061;-5,55;20,686
"solution";-3,912;6,039;10,899;-0,001;-4,638;-1,35
"remonter";-2,742;-0,045;-6,638;3,974;-4,606;20,481
"présentation";-2,089;3,203;2,726;-2,854;0,636;-1,52
"poids";-2,372;0,328;-1,352;-0,1;-1,524;12,279
"placement";-0,139;-2,481;-5,855;-5,091;49,615;-3,113
"ouvrir";3,699;0,053;-0,608;-2,175;-2,035;3,265
"occasion";12,494;-2,481;0,305;-0,031;-0,352;-1,695
"incorporer";-3,772;0,734;1,847;-1,091;3,769;-2,484
"guère";-0,437;-3,189;-0,103;22,886;-3,31;0,009
"firme";2,785;-0,37;-4,079;-5,431;6,299;0,128
"discussion";0,111;0,042;-0,639;4,516;0,002;-2,691
"cycle";0,034;-0,237;4,153;-3,015;0,462;-0,704
"chemin";19,112;-2,763;-2,372;-3,338;-10,51;19,272
"champ";-2,348;-0,301;3,708;0,069;-1,218;0,822
"carton";-4,613;-2,904;-6,442;-5,601;0,568;47,401
"autorité";-0,042;4,618;-4,836;21,609;-5,185;-1,581
"analogue";-2,089;0,017;2,726;2,199;-0,247;-1,52
"accord";-0,967;41,08;-0,261;-0,577;-2,314;-3,327
"étroit";-4,754;3,359;0,464;0,279;-3,054;1,098
"tradition";-2,348;-4,641;-0,261;71,346;-5,55;-1,874
"terminologie";0,636;0,472;0,893;-2,711;1,422;-3,853
"supprimer";0,791;-5,242;-0,608;-2,175;0,021;9,562
"support";-4,052;-4,341;-1,881;-2,854;-7,045;83,157
"simultanément";-2,874;1,531;3,891;-5,942;-1,068;3,265
"récemment";1,094;0,792;-1,257;-1,891;-4,321;8,492
"raisonnement";-2,233;-2,392;13,365;1,437;-0,301;-1,768
"puissance";-2,479;0,198;1,789;0,476;-8,015;4,622
"primitif";-3,212;-0,375;-0,974;32,957;-3,163;-0,058
"planche";-4,613;-4,942;-2,539;-3,501;31,457;0,501
"papyrus";-1,706;-3,891;-2,959;-0,181;-6,079;55,261
"palais";-0,243;120,6;-6,246;-3,338;-4,038;-7,719
"numérique";-4,052;-2,341;-0,132;-2,854;30,739;-1,52
"laboratoire";-0,967;28,504;0,905;-5,261;-2,314;-0,835
"europe";12,07;0,538;-4,646;1,999;-8,989;0,272
"différence";2,86;-1,927;-0,015;0,478;-0,414;0
"chronologique";-4,333;-4,641;-0,996;-0,577;52,477;-7,477
"changement";-2,218;-1,063;6,417;3,62;-1,035;-0,704
"cercle";0,067;-0,954;1,316;2,199;-7,045;1,254
"avance";10,083;-1,405;-0,031;-1,891;0,568;-1,117
"achever";3,107;-4,641;-0,996;-3,176;15,249;-1,874
"étudiant";1,473;18,219;0,215;-1,615;-2,314;-5,195
"transport";24,553;9,124;-3,33;-4,75;-4,638;-0,466
"théorique";-4,333;-2,622;33,915;-1,615;0,967;-5,195
"spécialité";1,941;8,389;-3,516;-0,399;0,636;-4,726
"spectacle";-4,333;-4,641;-0,996;28,923;-10,18;10,13
"signification";-1,833;-4,041;11,881;0,359;-6,401;3,375
"schéma";-4,052;-0,954;0,02;-4,92;-0,247;23,856
"régulier";-0,867;4,987;-0,192;-0,031;1,219;-3,113
"russe";0,441;0;-0,261;5,333;-0,072;-3,327
"rare";-2,348;-1,175;-0,261;-0,577;4,997;0,822
"rapprocher";-4,333;-0,301;23,514;-3,176;-0,072;-0,21
"proportion";-0,417;-0,021;-4,876;0,62;-0,006;4,433
"plaque";-4,473;-4,792;-6,246;-5,431;-10,51;133,59
"phonétique";-3,492;-3,741;-0,338;67,059;-8,205;-0,183
"perfectionnement";-4,193;1,311;12,417;-5,091;-7,368;5,757
"paul";0,441;10,227;-6,05;23,684;-10,18;-3,327
"passage";-4,613;-0,444;0,087;9,527;-0,212;-0,03
"obliger";6,986;-2,904;2,933;0,369;-0,748;-3,76
"normal";-0,188;-1,175;-0,996;-0,577;-0,072;10,13
"k";-0,586;6,641;-1,565;0,003;-0,55;0,14
"inspirer";-1,706;-0,646;2,165;5,6;-1,207;-0,266
"formuler";-1,093;2,183;2,331;-1,602;2,045;-5,059
"finir";-2,348;-4,641;5,822;14,774;-1,218;-1,874
"extrait";-2,218;-4,491;-0,192;-0,031;13,32;-0,142
"enseigner";-0,5;-1,927;0,166;21,158;-1,207;-2,279
"découvrir";-3,772;-2,064;-1,565;5,032;-2,675;14,345
"doctrine";0,002;-2,763;13,955;7,31;-2,555;-7,719
"circonstance";-2,742;11,331;2,597;-2,032;-0,304;-1,266
"chinois";-2,348;-2,622;-6,05;0,601;-7,691;52,985
"chimie";-0,202;-0,296;0,671;-3,73;3,134;-0,02
"capital";10,828;4,103;0,143;-1,752;-4,038;-2,057
"analyser";0,573;-3,441;8,828;-0,621;0,414;-3,334
"élémentaire";-1,813;-0,323;-0,705;0,78;1,335;0,114
"vieux";3,107;-0,301;-0,996;5,333;-10,18;1,855
"séparément";-4,473;-2,763;-0,337;-1,752;24,75;-0,29
"semblable";-0,867;2,853;1,097;0,118;0,065;-4,96
"répéter";-1,581;-1,791;-2,775;1,841;10,086;-0,874
"rhétorique";-1,953;-2,092;1,553;28,124;-2,316;-3,37
"précision";-1,581;-3,741;18,496;-2,219;-0,006;0,006
"plein";1,273;-2,763;-0,01;0,476;-4,038;4,622
"paragraphe";-4,052;-4,341;-3,516;-2,854;73,355;-6,993
"mental";-3,772;-2,064;66,337;-0,246;-6,401;-2,484
"louis";52,627;-0,301;-6,05;-0,061;-2,314;-1,874
"intégral";-3,632;-0,048;-0,015;-2,377;2,674;2,165
"emprunter";-1,833;-0,745;0,099;-0,246;2,233;0,14
"culture";-2,218;14,941;9,172;0,118;-9,851;-3,113
"clair";-1,457;-3,591;5,131;-4,07;0,002;5,057
"xviie";-0,139;-4,491;-3,703;5,869;-5,245;18,063
"xvie";0,346;-4,792;-6,246;22,254;-5,858;4,622
"substitut";-4,052;-2,341;7,067;-1,347;-0,862;6,409
"spécialiser";1,695;58,885;-3,703;-5,091;-2,078;-4,96
"somme";4,882;-4,792;-2,372;17,757;-0,134;-3,543
"sensible";-3,912;-0,848;-0,082;7,092;-9,192;13,153
"réalisation";-2,479;2,247;1,789;0,476;-2,555;-0,008
"renvoyer";-0,77;-2,341;-3,516;-1,347;21,914;-0,085
"religion";0,013;-2,622;-2,206;80,248;-7,691;-5,195
"rapidité";-0,77;-0,179;4,643;-0,011;-3,208;1,254
"ramener";-3,492;-1,791;14,125;3,71;-1,012;-2,077
"pénétrer";1,941;-2,341;2,726;12,944;-9,522;-1,52
"ordinairement";0,002;-1,289;-0,01;-0,673;0,751;0,649
"moyenne";16,752;-2,481;-5,855;-1,48;-5,245;14,345
"millier";24,553;-0,848;-0,639;-4,75;-0,158;-0,042
"manquer";4,127;0,396;-2,41;0,159;-1,675;0,082
"illustré";10,38;-4,191;-5,463;-2,694;0,002;7,124
"geste";-3,072;-3,291;9,809;5,366;-7,218;0,88
"fabrication";1,941;-0,179;-3,516;-2,854;-9,522;33,934
"estimer";40,015;-0,237;-2,042;0,118;-2,078;-4,96
"détaillé";-2,348;-1,175;-3,891;-5,261;58,699;-5,195
"dieu";-2,218;-4,491;-2,042;94,105;-9,851;-0,704
"diagramme";-3,492;-3,741;-1,262;-4,24;-5,759;75,553
"conséquent";-4,473;-1,289;26,776;-0,1;-2,555;-0,008
"comparaison";-1,093;-3,141;32,133;-1,602;-6,889;1,138
"commentaire";-3,912;-4,191;-0,082;7,092;3,234;-0,466
"clarté";-3,212;-3,441;21,786;-0,621;-1,675;0,664
"chrétien";-0,188;-4,641;-3,891;89,673;-7,691;-1,874
"avenir";-0,867;-0,237;20,38;5,869;-7,368;-4,96
"annuel";35,227;0,467;-5,659;-4,92;0,636;-4,726
"émotion";-3,352;-3,591;37,7;4,202;-7,876;-1,879
"voyage";9,589;-0,954;-0,753;0,91;0,134;-4,726
"vitesse";-1,833;-4,041;0,099;-4,58;-8,863;59,111
"substituer";-0,77;-2,341;0,414;9,419;-3,208;0,422
"substance";-1,706;-3,891;-0,431;-4,41;-8,534;71,023
"spécialement";-0,867;4,987;-3,703;0,118;-0,352;1,023
"sonore";-0,06;-2,202;-1,722;-4,75;-6,722;55,613
"résoudre";-2,089;0,467;9,999;-1,347;-3,208;0,422
"renvoi";-3,632;-3,891;-2,959;-4,41;57,13;-2,279
"remarquable";19,161;-0,848;-3,33;-0,32;0,231;-1,35
"rassembler";-0,012;0,133;-5,072;0,018;9,012;-2,279
"position";-3,212;-0,375;-2,41;-0,621;0,025;15,873
"organisé";-0,139;14,941;-2,042;-1,48;3,813;-7,235
"mécanisme";-4,193;-4,491;42,192;-3,015;-7,368;3,751
"multiplication";-0,676;-2,202;-0,639;-0,001;-1,627;16,855
"morale";-1,833;-0,745;15,752;19,667;-8,863;-6,509
"minute";-0,096;-4,341;-3,516;-2,854;-9,522;74,797
"leipzig";66,451;3,075;-4,681;-4,07;-3,452;-5,784
"juger";-1,833;0,08;8,555;5,032;-1,413;-6,509
"harmonie";-3,632;-1,927;21,741;5,6;-4,04;-2,279
"habitant";67,007;-1,005;-3,703;0,027;-6,232;-2,428
"estampe";-0,867;-1,063;-3,703;-5,091;13,32;2,173
"enquête";-0,096;16,024;-0,753;-1,347;-0,247;-0,581
"descriptif";-3,632;-3,891;4,013;-0,967;2,674;0,228
"cote";0,034;-4,491;-5,855;-5,091;49,615;-3,113
"construction";-0,533;0,472;-1,184;0,238;-1,275;3,369
"constant";-3,492;0,202;18,496;-2,219;-0,293;-0,874
"coeur";-0,77;-4,341;0,414;53,274;-9,522;-1,52
"citer";0,442;0,289;-2,592;0,788;0,975;-1,879
"chant";-3,912;-4,191;-5,463;56,334;-4,638;1,519
"auxiliaire";-0,586;-0,084;5,774;-2,535;2,233;-2,484
"attribuer";-0,867;-2,481;0,305;5,869;0,065;-0,704
"aristote";-1,581;-3,741;-1,262;87,004;-5,759;-3,795
"agent";9,589;1,529;0,414;-4,92;-3,208;-0,085
"adresser";13,427;1,529;-1,881;0,181;-4,94;-0,581
"acheter";69,769;-0,301;-0,001;-3,176;-7,691;-3,327
"york";42,625;0,873;-3,899;-3,39;-1,007;-2,652
"variété";-1,706;-1,927;4,013;0,478;0,072;-0,266
"signaler";-0,06;-2,202;-1,722;-0,001;15,951;-2,691
"secret";5,811;-0,021;-2,775;3,71;-5,759;0,343
"répétition";-1,395;-0,079;0,101;-0,161;3,46;-0,564
"régional";0,553;97,02;-5,855;-3,015;-5,245;-7,235
"rythme";-3,912;-4,191;1,565;18,295;-6,722;1,519
"russie";14,437;-0,128;-5,463;4,516;-4,638;-0,042
"registre";-2,089;0,017;-3,516;-1,347;18,06;-0,581
"rappeler";-1,093;-3,141;15,159;-0,416;-0,357;-0,001
"purement";-1,833;0,08;15,752;0,003;-2,675;-1,185
"oral";-0,5;-1,927;0,166;46,689;-8,534;-2,279
"motif";-0,012;-0,048;-5,072;0,018;0,072;3,874
"mention";-0,06;-4,191;-5,463;-2,694;43,938;-2,691
"mai";42,084;-0,646;-2,959;0,018;-2,416;-2,279
"grouper";-1,457;8,819;-4,681;-4,07;8,317;-0,729
"grammaire";-3,072;-3,291;-0,113;70,301;-7,218;-1,494
"gauche";-3,632;-1,927;-2,959;-4,41;0,524;29,663
"expliquer";-2,089;-2,341;2,726;12,944;-0,247;-2,901
"exercice";0,729;-0,296;-0,113;22,502;-4,802;-3,106
"envoyer";67,341;0,467;-5,659;-2,854;-3,208;-2,901
"distinction";-2,372;1,676;-0,255;5,971;-0,451;-0,632
"directeur";20,515;2,045;-0,532;0,003;-4,338;-4,259
"didactique";-2,233;-0,643;-0,168;3,649;-2,924;6,093
"demeure";-0,676;1,773;-3,33;7,092;-0,158;-0,466
"compter";6,395;-4,341;-5,659;2,199;-0,004;0,422
"catholique";10,38;-4,191;-1,722;34,709;-6,722;-4,492
"biblio";-3,352;-1,656;44,804;-4,07;0,002;-3,564
"belge";42,289;8,389;-5,659;-1,347;-9,522;-1,52
"augmenter";-0,77;-0,179;0,02;6,454;-0,247;-0,581
"affirmer";-1,706;-0,048;26,984;0,478;-4,04;-4,026
"admettre";-0,586;0,734;0,099;1,316;-1,413;-0,013
"abréviation";-1,833;-0,745;-1,565;-1,091;1,097;7,909
"visible";-1,961;-4,191;-1,722;-2,694;-4,638;62,984
"transcription";-3,212;-3,441;3,387;32,957;-3,163;-3,334
"supposer";-1,212;-3,291;0,058;2,923;1,626;-0,465
"station";4,735;36,207;-5,267;-4,58;-6,401;-0,013
"spécialiste";-1,833;9,925;-3,144;0,003;0,36;-0,361
"simplifier";-0,5;-3,891;-0,015;-2,377;-0,414;19,826
"semaine";61,526;-0,848;-1,722;-0,32;-2,94;-4,492
"résulter";-1,833;-0,084;8,555;-0,246;-0,55;-0,013
"récit";-1,581;-3,741;-4,876;121,785;-8,205;-3,795
"renaissance";-0,676;-4,191;-3,33;10,247;-6,722;16,855
"recommandation";-1,581;8,023;-1,262;-4,24;13,253;-6,026
"projet";0,169;43,437;-5,267;0,359;-2,675;-6,509
"profession";9,988;5,577;-1,116;-2,063;-0,19;-3,564
"professeur";-0,268;38,683;-0,974;-0,621;-3,163;-1,684
"métal";-3,912;-4,191;-5,463;-4,75;-6,722;106,718
"membre";1,411;41,054;-1,262;-0,123;-5,759;-6,026
"longueur";-1,212;-1,39;-4,29;-0,012;-1,442;27,647
"juridique";-3,632;131,467;-5,072;-4,41;-2,416;-6,267
"italien";7,642;-4,041;-3,144;15,107;-4,338;-0,013
"frais";85,303;-2,064;-5,267;-2,535;-0,087;-6,509
"fonctionner";3,846;32,07;-3,516;-4,92;-9,522;0,422
"fer";13,427;-4,341;-3,516;-4,92;-9,522;33,934
"dépendre";-1,706;4,484;0,882;-0,967;-0,414;0
"couper";-0,096;-4,341;-3,516;-2,854;-0,862;39,638
"civil";2,521;4,014;-5,267;15,107;-2,675;-6,509
"chimique";-2,932;-1,259;0,118;-3,56;0,852;7,426
"chef";-1,833;4,014;-0,532;0,359;-2,675;1,821
"changer";-1,581;-0,551;0,254;1,841;-0,293;0,343
"annoncer";39,619;-4,041;-5,267;-2,535;2,233;-2,484
"étape";-2,652;-1,005;18,451;-3,22;-2,047;1,814
"érudition";-3,212;0;-0,178;20,737;-0,106;-3,334
"élève";-1,953;11,075;-0,041;2,254;-2,316;-1,344
"visuel";-3,492;-3,741;0,254;-0,123;-5,759;31,946
"univers";-0,5;-3,891;61,688;0,018;-8,534;-4,026
"tome";-2,932;-3,141;-4,094;-1,602;49,077;-2,878
"sténographie";-2,792;0,072;-1,872;0,005;-6,56;26,701
"similaire";-3,632;0,9;-2,959;-2,377;27,881;-4,026
"réunion";-0,586;4,014;-0,532;-4,58;2,233;-0,013
"royal";60,33;0;-4,485;-0,621;-3,163;-3,334
"ressource";2,521;-0,084;-3,144;0,359;0,36;-0,361
"recueillir";-1,093;0,685;-2,05;-0,416;5,972;-0,349
"profond";-3,352;-3,591;60,851;0,094;-7,876;-1,879
"professionnel";0,111;65,422;-0,082;-2,694;-9,192;-4,492
"personnalité";-0,031;-2,064;-0,043;15,107;-0,087;-2,484
"outillage";-0,417;2,692;1,095;-4,24;3,175;-3,795
"miroir";-0,34;-1,656;-0,253;-0,075;-5,439;23,371
"mesurer";-2,512;-2,691;15,039;-1,157;-5,903;7,253
"marge";-3,352;-3,591;-4,681;-2,063;18,546;2,999
"lumineux";-3,632;-3,891;-5,072;-2,377;-8,534;98,369
"limite";-1,334;-1,522;12,508;-3,9;-3,163;5,757
"leçon";-0,748;0,216;-3,508;13,098;-1,782;0,093
"jugement";-1,457;-0,005;20,064;2,158;-3,452;-5,784
"immédiat";-1,334;-3,441;40,498;-0,621;-1,675;-1,684
"illusion";-3,072;-3,291;9,809;0,246;-7,218;6,543
"ii";5,239;-1,259;-2,05;-0,001;2,045;-1,308
"gens";12,178;-0,646;-1,412;0,478;-4,04;0,228
"fixe";-0,202;-1,39;-4,29;-0,515;-0,498;22,26
"figurer";-3,492;-0,021;-4,876;-2,219;25,346;-0,183
"explication";-1,813;-1,943;19,557;-0,483;-0,603;-0,133
"essentiellement";-1,212;-0,296;18,388;-0,515;-2,877;-0,02
"enchaînement";-2,372;-2,541;29,292;-1,014;-0,012;-1,986
"efforcer";-0,06;-2,202;34,392;-1,217;-1,627;-2,691
"déposer";4,735;6,641;-5,267;-1,091;0,023;-1,185
"défaut";-2,932;0,685;0,118;-1,602;8,706;-2,878
"don";0,333;-0,021;-0,001;9,394;-5,759;-0,183
"destination";0,242;2,351;-1,412;-0,967;1,391;-1,026
"coûter";94,999;-1,791;-4,876;-4,24;-2,162;-2,077
"conversation";-1,334;-3,441;-2,41;20,737;-5,12;5,757
"continu";-3,352;-0,005;0,003;-4,07;5,807;0,487
"conseil";5,811;11,753;-2,775;-0,847;-0,293;-3,795
"confier";-0,586;59,868;-5,267;-0,246;-1,413;-4,259
"compréhension";-3,212;-1,522;40,498;0,159;-5,12;-1,684
"collaborateur";-0,06;9,124;-3,33;-2,694;7,164;-4,492
"améliorer";-1,457;-0,461;2,929;0,094;0,975;-1,879
"égyptien";-3,492;-3,741;-4,876;28,54;-0,293;1,193
"zoologie";-2,372;-2,541;-3,313;-2,881;52,036;-4,094
"varier";1,411;-1,791;-2,775;-2,219;-0,006;9,726
"téléphone";-0,001;1,092;-4,876;-4,24;-3,745;26,475
"troisième";-0,533;-0,003;-0,168;-0,05;-0,301;3,369
"suggestion";-1,457;-1,656;2,929;-2,063;-0,827;7,651
"scolaire";0,333;27,204;-2,775;-2,219;-0,293;-2,077
"révéler";-3,492;-1,791;0,254;13,208;-3,745;1,193
"région";-1,706;-0,646;-2,959;-0,967;-0,414;24,497
"réflexion";-3,632;-3,891;17,064;3,27;-1,207;-1,026
"représentant";5,811;-0,021;-4,876;-0,123;0,151;0,006
"renouveler";-3,632;4,484;12,952;-0,181;-8,534;0
"préciser";-1,212;0,008;23,681;-3,73;-0,044;-3,106
"producteur";-0,202;26,744;0,058;-1,754;-4,802;-0,465
"partition";-2,932;-3,141;-0,706;-0,001;-2,595;30,125
"participer";-1,706;-0,048;9,407;0,478;-8,534;0,95
"parallèlement";-0,202;0,008;6,522;-0,515;-1,442;-0,02
"métier";-1,706;-0,048;6,427;12,132;-4,04;-4,026
"généralité";-0,5;-0,646;0,166;-2,377;9,012;-1,026
"détermination";-0,748;-2,691;1,748;-3,05;9,267;-0,789
"dessiner";-1,581;-0,021;-1,262;-0,847;-2,162;21,518
"coordonner";-2,372;7,503;-3,313;-2,881;7,333;-0,632
"continuité";-1,457;-0,461;0,003;-0,732;5,807;-0,113
"confusion";-2,932;-3,141;0,874;6,055;2,045;-2,878
"classeur";-3,632;-1,927;-5,072;-4,41;50,449;-1,026
"cabinet";1,411;27,204;-4,876;-2,219;-0,293;-2,077
"brochure";1,411;-1,791;-4,876;-2,219;30,24;-6,026
"arabe";-1,457;-3,591;-4,681;6,922;-0,827;10,779
"énorme";10,931;-1,522;-2,41;2,516;-0,656;-0,592
"énergie";-1,674;-1,793;2,562;0,047;-1,724;3,82
"éducatif";-1,093;22,347;-0,062;-0,416;-1,219;-1,308
"télévision";-0,143;-1,259;-4,094;-3,56;-6,889;59,282
"toile";-0,268;-3,441;-4,485;-3,9;2,599;15,873
"signal";-2,652;-2,841;-3,703;-1,303;-6,232;69,203
"sein";-3,352;93,285;-0,253;-0,732;-7,876;-5,784
"secondaire";-1,457;-1,656;-1,116;-2,063;14,687;0,033
"répartir";3,238;0,202;-1,262;-4,24;3,175;-0,874
"rouleau";-2,932;-3,141;-4,094;-3,56;-1,219;59,282
"roi";13,201;-1,791;-4,876;9,394;-8,205;0,343
"remplir";1,411;-0,551;1,095;1,841;-3,745;-0,183
"présence";-3,492;-1,791;7,148;0,62;0,151;-0,874
"pourvoir";8,353;-0,048;-0,431;0,018;-0,414;-1,026
"positif";-2,652;1,097;-1,696;-3,22;0,028;9,547
"portant";-0,5;-3,891;-5,072;-2,377;23,277;0,228
"marcher";-0,975;-2,991;16,713;0,496;-1,007;-1,128
"insérer";0,333;-3,741;-2,775;-4,24;20,883;-0,183
"installer";2,86;14,979;-5,072;-2,377;-2,416;0,228
"hypothèse";-2,932;-3,141;20,117;1,485;-0,357;-2,878
"foule";-1,334;-1,522;-0,974;47,995;-7,547;-0,058
"fil";-0,143;-3,141;-4,094;-0,416;-6,889;51,076
"dollar";48,402;-0,223;-4,094;-0,416;-1,219;-2,878
"dispositif";-3,632;-3,891;-5,072;-4,41;15,314;8,774
"courbe";-3,212;-3,441;-2,41;-3,9;-7,547;85,857
"circulation";6,434;-0,005;-2,592;-0,732;3,746;-3,564
"calcul";-0,17;-0,23;2,562;-2,032;-0,413;1,498
"british";0,636;8,526;-3,118;-2,711;1,422;-1,768
"bande";-0,417;-1,791;-4,876;-4,24;-3,745;58,964
"appel";-0,001;-0,551;2,524;-2,219;-8,205;13,143
"anonyme";0,573;-0,375;-4,485;-0,621;16,273;-3,334
"agence";156,728;-1,656;-4,681;-4,07;-7,876;-5,784
"adéquat";0,001;-0,643;0,071;-0,874;8,61;-3,853
"étoile";-0,433;-2,242;-2,923;-0,739;1,903;7,161
"égard";-2,233;0,472;2,633;1,437;-1,275;-0,485
"égal";-0,417;-0,551;-0,001;1,841;-2,162;2,556
"washington";7,195;12,14;-1,947;-1,693;-1,158;-2,406
"viser";0,041;-1,39;3,903;-3,73;3,134;-1,494
"totalité";-3,072;-1,39;36,271;-3,73;-0,044;-1,494
"tomber";0,002;-3,591;-4,681;61,785;-7,876;-0,113
"syllabe";-2,792;-2,991;-3,899;41,364;-4,17;1,447
"sculpture";-2,792;-1,131;-1,872;0,496;-6,56;32,874
"rm";0,608;-0,597;-0,778;-0,677;5,459;-0,962
"reprendre";7,123;0;-4,485;0,159;0,025;-0,592
"renfermer";-0,143;0,032;-4,094;-0,001;-1,219;10,744
"portrait";-0,143;-3,141;-0,062;-1,602;0,852;4,719
"parfait";-1,212;-3,291;0,671;8,545;-7,218;4,072
"organique";-2,932;7,714;7,345;-0,416;-2,595;-1,308
"neuf";4,652;-0,296;-2,229;-0,515;-0,498;2,184
"moral";-3,352;1,312;0,003;30,649;-5,439;-3,564
"monnaie";2,631;-3,141;-2,05;-3,56;-1,219;19,212
"lier";-2,512;-0,056;15,039;2,583;-5,903;-0,789
"gagner";0,014;-0,375;12,508;-0,621;-3,163;-0,058
"financier";39,438;17,521;-2,592;-4,07;-7,876;-5,784
"envoi";18,401;2,183;-2,05;-3,56;-0,357;-1,308
"entrevoir";-1,093;0,032;25,775;-3,56;-4,485;-0,001
"entièrement";0,041;0,008;3,903;-1,754;-0,498;-0,02
"discuter";-1,581;11,753;1,095;0,62;-1,012;-6,026
"corrélations";-2,372;-0,76;0,656;-2,881;19,338;-4,094
"corrélation";-3,072;0,527;9,809;-3,73;1,626;-3,106
"comptabilité";0,144;5,136;-0,581;-3,39;0,308;-0,246
"cm";0,846;-2,242;-2,923;-2,541;0,033;11,087
"cinématographique";-0,34;1,312;-2,592;-2,063;-5,439;23,371
"catalographiques";-1,334;-3,441;-4,485;-3,9;62,551;-5,542
"carré";-0,639;-2,541;-3,313;-2,881;-5,574;60,892
"analytiques";-3,492;-3,741;0,254;-4,24;35,566;-3,795
"actif";-0,268;3,504;16,827;-0,621;-7,547;-1,684
"achat";64,337;0,527;-4,29;-3,73;-1,442;-5,301
"accessoire";-1,093;-1,259;0,118;-3,56;2,045;2,623
"accessible";0,083;0,685;-2,05;0,357;-0,008;-0,001
"vraiment";0,573;0,396;8,828;-0,038;-5,12;-1,684
"typographie";0,002;-1,656;-1,116;-2,063;-5,439;34,44
"trésor";-0,202;3,985;-2,229;22,502;-4,802;-3,106
"tiers";0,041;-0,296;0,058;-0,515;-0,044;0,88
"spectateur";-3,072;-3,291;-0,113;8,545;-7,218;13,235
"souvenir";0,014;-1,522;-0,178;7,691;-5,12;1,804
"soumettre";-1,334;-0,375;16,827;-3,9;-3,163;1,804
"saisir";-2,652;-2,841;30,685;-3,22;-3,855;1,814
"régime";-0,143;7,714;-0,706;13,711;-6,889;-2,878
"règlement";14,406;31,317;-3,899;-3,39;-4,17;-4,818
"revenir";9,988;1,312;-1,116;-0,075;-5,439;0,033
"processus";-1,334;-0,375;56,171;-3,9;-5,12;-1,684
"plutôt";-1,212;0,008;-0,113;1,216;-1,442;2,184
"particulièrement";-0,34;3,075;0,003;2,158;-5,439;0,033
"modalité";-0,093;0,873;0,203;-1,452;-0,234;0,405
"militaire";16,905;6,924;-0,837;-0,515;-7,218;-1,494
"juillet";20,983;24,774;-4,485;-1,908;-7,547;-3,334
"impliquer";-2,792;18,184;0,203;-3,39;0,308;-2,652
"faculté";0,083;-0,223;2,331;13,711;-6,889;-2,878
"exécuter";0,573;-0,375;-2,41;-0,621;-0,106;5,757
"extraire";-2,512;-2,691;-3,508;-1,157;3,8;10,824
"exclusivement";-1,212;6,924;0,058;-0,012;-0,044;-1,494
"exactement";-0,433;-0,531;3,203;1,807;-1,037;-0,351
"entité";-3,072;20,579;-0,837;-3,73;5,133;-5,301
"enlever";-0,34;-0,461;-0,253;0,788;0,263;0,033
"eau";-2,792;-2,991;-1,872;0,005;-6,56;47,145
"désormais";-0,051;1,097;3,267;-3,22;-0,806;0,034
"découpage";-2,932;-3,141;-4,094;-3,56;56,435;-2,878
"disparaître";-1,334;-1,522;-2,41;32,957;-7,547;1,804
"complètement";0,001;-0,003;2,633;1,437;-5,246;-0,004
"brevet";-1,334;3,504;-2,41;-3,9;12,6;-1,684
"bref";-3,072;-1,39;-4,29;2,923;0,081;6,543
"bourse";42,154;9,697;-4,485;-0,621;-7,547;-5,542
"bientôt";-0,143;2,183;0,118;-0,416;-1,219;0,264
"assister";0,014;0;-4,485;15,684;-7,547;1,804
"american";9,704;8,749;-2,337;-2,032;-0,413;-2,888
"adaptation";-2,512;-0,881;10,491;0,071;-1,782;0,093
"élever";4,652;0,008;3,903;2,923;-7,218;-5,301
"vocabulaire";-0,433;-2,242;-1,019;42,076;-1,037;-3,611
"verre";-0,268;-1,522;-4,485;-3,9;-3,163;51,168
"unifier";-1,334;-0,375;0,021;-0,621;4,395;-0,058
"und";4,988;4,404;-0,557;-2,032;0,001;-2,888
"succéder";-0,86;-2,841;1,405;-0,239;1,521;0,034
"succès";15,838;-2,841;3,267;-0,239;-6,232;-0,157
"spirituel";-1,212;-0,296;0,671;35,49;-7,218;-3,106
"simultané";-2,512;-0,056;10,491;-1,157;-3,543;2,248
"rouge";-0,975;0,072;-1,872;-0,323;-6,56;26,701
