"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"mass";"chi.distance";"inertie"
"ensemble";-0,636448088933793;-0,800041523874808;0,421262612181278;-0,065385579935088;-0,21771265838896;-0,563809577898809;-0,708731916585735;0,373183453117704;-0,0579230527435926;-0,192864876434999;0,378851251089379;0,47647547851508;0,123067216209849;0,00220839516293831;0,0193976590227549;0,00122065430374089;0,0019288203079307;0,000534776784982609;1,28834054110501e-05;0,000142834814386579;0,00301346889576018;0,524520586631987;0,000829071124864731
"moyen";1,01371317090793;0,347611577786528;0,483051215569018;-0,106512734122588;0,0484391461605803;0,8581310043571;0,294261020703659;0,40891372102909;-0,0901654256179521;0,0410048269450319;0,787990341814966;0,0737482854141388;0,132669431022574;0,00480467323623467;0,000787268512084772;0,00311463580111679;0,000366239817330504;0,000707234521874805;3,43858812256816e-05;7,11164470438152e-06;0,00303093828066314;0,579280029163438;0,00101707787160958
"langue";0,815527334826578;0,62149864642182;1,17030402368133;-1,26646914679698;0,974177381502014;0,365669730553019;0,278670294508841;0,524746061510822;-0,5678650020498;0,436805935732906;0,202205709564309;0,0934694075289026;0,30875042069946;0,269324382610526;0,126250079596801;0,00155689547605492;0,000904196426559697;0,00320612026013994;0,00375466885683282;0,00222156229520528;0,00234089757699631;0,919974372537098;0,00198122532677801
"scientifique";-0,628952087229236;0,532072451302094;0,595521920246814;1,1102612599491;0,424612496490122;-0,40212618019887;0,340185312642388;0,380752301925766;0,709855533595505;0,271479822939272;0,240685304129866;0,137097249204849;0,159994017513267;0,414223654517299;0,0479997746347205;0,00102276169572597;0,000731949091213313;0,000916927151078367;0,00318705605350658;0,000466149123595634;0,00258546896563772;0,650319370586087;0,00109343434125402
"organisation";-1,56075587385541;0,822895173588849;0,0507571762273052;1,64476842271167;1,29736430887928;-0,569751414529154;0,300396555934984;0,0185288253194758;0,600420059991825;0,473600748538389;0,467786226372987;0,103499737938728;0,000366831120106341;0,286917519811866;0,141429684756315;0,00687258463026968;0,00191046537348855;7,268504211502e-06;0,00763237428231281;0,0047486923329934;0,00282130566182765;1,15756444111583;0,00378042385630966
"premier";0,364162618772428;-0,0332423979503622;-0,215087584510937;-0,0963558422996949;0,293318025339726;0,694049810259503;-0,063355981093814;-0,409930864738974;-0,183642555874989;0,559028602438593;0,629788043138185;0,00417696771355961;0,162902654292651;0,0243517324352981;0,178780602420308;0,000385729255100425;3,21422696361346e-06;0,000134562031869221;2,70052346922721e-05;0,000250247274849346;0,00290865258634243;0,232772715121239;0,000157599921294623
"papier";0,97934673469803;-0,441017275335382;-2,01311473897665;0,424937850059268;-0,155112108227262;0,421019840309673;-0,189592731825221;-0,865435311008958;0,182680208586852;-0,0666824861126171;0,226791280547033;0,0366047414238899;0,71053298317634;0,0235816560871137;0,00248933876562572;0,00228708983898895;0,000463790094337986;0,00966378640160205;0,000430587182369435;5,73722214978832e-05;0,00238457103925371;1,04317511268531;0,00259492434178151
"mettre";-0,125861494078616;-0,0655943746099191;-0,0954921203486748;0,352065010852107;-0,301103193949206;-0,254864235488471;-0,132825851621142;-0,19336753012511;0,71291684950932;-0,609721312231265;0,118081271040848;0,0255270830285352;0,0503992552410369;0,510282953123384;0,295709437566196;4,51077312116298e-05;1,2251757993397e-05;2,59657153352512e-05;0,00035294818255867;0,000258164155359525;0,00284750973918208;0,185795969095626;9,82964409193403e-05
"nombre";0,0494381147328189;-0,0243583868748517;-0,370034909708846;-0,647733957566845;-0,440215156264328;0,0569605889211862;-0,0280647445611551;-0,426339201895614;-0,746292772017167;-0,507198033103848;0,00580611313184172;0,00112184145774797;0,241179771660313;0,550459153310956;0,201433120439142;6,70349158095578e-06;1,62732506594267e-06;0,000375545586382749;0,00115072248006355;0,000531504869719577;0,00274269342976434;0,32911908621125;0,000297086832392413
"nouveau";0,294357591483759;0,306768549278673;0,282992321960233;0,0723212602969015;-0,779210337214682;0,314998982274057;0,32828024013032;0,302836740032791;0,0773926817224895;-0,833851309771953;0,177013106446594;0,153020407131848;0,121310401244216;0,00590142630945567;0,542754658867888;0,000234617170797102;0,00025481851297301;0,000216849595840694;1,41625443651536e-05;0,00164406401117069;0,00270775465995842;0,354900362778932;0,000341053254766447
