"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"80";0;0;0;0;0;0;0;3;3
"81";0;0;0;0;0;5;5;5;5
"82";0;0;0;0;0;5;5;5;5
"83";0;0;0;0;0;0;0;3;3
"84";0;0;0;0;0;0;0;3;3
"85";0;0;0;0;0;5;5;5;5
"86";0;0;0;0;0;0;0;0;0
"87";0;0;0;0;0;5;5;5;5
"88";0;0;0;0;0;0;0;0;0
"89";0;0;0;0;0;0;0;3;3
"90";0;0;0;0;0;0;0;3;3
"91";0;0;0;0;0;5;5;5;5
"92";0;0;0;0;0;0;0;0;0
"93";0;0;0;0;0;0;0;0;0
"94";0;0;0;0;0;0;0;0;2
"95";0;0;0;0;0;5;5;5;5
"96";0;0;0;0;0;0;0;0;0
"97";0;0;0;0;0;0;0;3;3
"98";0;0;0;0;0;0;0;3;3
"99";0;0;0;0;6;6;6;6;6
"100";0;0;0;0;0;0;0;3;3
"101";0;0;0;0;0;0;0;3;3
"102";0;0;0;0;0;0;0;0;0
"103";0;0;0;0;0;0;0;3;3
"104";0;0;0;0;0;5;5;5;5
"105";0;0;0;0;0;0;0;3;3
"106";0;0;0;0;0;5;5;5;5
"107";0;0;0;0;0;0;0;3;3
"108";0;0;0;0;0;0;0;3;3
"109";0;0;0;0;0;0;0;0;0
"110";0;0;0;0;0;0;0;3;3
"111";0;0;0;0;0;0;0;3;3
"112";0;0;0;0;0;0;0;3;3
"113";0;0;0;0;0;0;0;3;3
"114";0;0;0;0;0;0;0;3;3
"115";0;0;0;0;0;0;0;3;3
"116";0;0;0;0;0;0;0;3;3
"117";0;0;0;0;0;0;0;3;3
"118";0;0;0;0;0;0;0;0;0
"119";0;0;0;0;0;0;0;3;3
"120";0;0;0;0;0;0;0;3;3
"121";0;0;0;0;0;0;0;3;3
"122";0;0;0;0;0;0;0;3;3
"123";0;0;0;0;0;0;0;3;3
"124";0;0;0;0;0;0;0;3;3
"125";0;0;0;0;0;0;0;3;3
"126";0;0;0;0;0;0;0;3;3
"127";0;0;0;0;0;0;0;3;3
"128";0;0;0;0;0;0;0;3;3
"129";0;0;0;0;0;5;5;5;5
"130";0;0;0;0;0;0;0;0;2
"131";0;0;0;0;0;0;0;3;3
"132";0;0;0;0;0;0;0;3;3
"133";0;0;0;0;0;0;0;3;3
"134";0;0;0;0;0;0;0;3;3
"135";0;0;0;0;0;0;0;3;3
"136";0;0;0;0;0;0;0;3;3
"137";0;0;0;0;0;0;0;3;3
"138";0;0;0;0;0;0;0;3;3
"139";0;0;0;0;0;0;0;3;3
"140";0;0;0;0;0;0;0;0;0
"141";0;0;0;0;0;0;0;0;0
"142";0;0;0;0;0;0;0;3;3
